Name,Type,Family,Language
th2-schema-validator,Library,th2-infra,Java
th2-common-utils-py,Library,,Python
th2-grpc-codec,Library,th2-codec,Python
th2-act-ssh,Box,th2-act,Kotlin
th2-grpc-act-ssh,Library,th2-act,Python
th2-conn-dirty-tcp-core,Library,th2-conn,Kotlin
th2-codec-open-api,Box,th2-codec,Kotlin
th2-conn-kafka,Box,th2-conn,Java
th2-lw-data-provider,Box,th2-core,Kotlin
th2-crawler-dashboard,WebUI,th2-crawler,TypeScript
th2-data-services-j,Abandoned,,Java
th2-data-services-utils,Library,th2-data-services,Python
th2-codec-xml-via-xsd,Box,th2-codec,Kotlin
th2-lib-common-j,Abandoned,,Java
th2-conn-http-ws-client-template,Box,th2-codec,Kotlin
th2-codec-moldudp64,Box,th2-codec,Kotlin
th2-conn-qfj,Box,th2-conn,Java
th2-data-services,Library,th2-data-services,Python
th2-crawler-event-healer,Box,,Java
th2-lib-template-j,Template,,Java
th2-lib-fix-util-j,Library,th2-util,Java
th2-crawler,Box,th2-crawler,Java
th2-conn-amqp,Box,th2-conn,Kotlin
th2-grpc-conn,Library,th2-conn,Python
th2-data-processor-zephyr,Box,,Kotlin
th2-replay-script-generator-core,Library,,Kotlin
th2-read-file,Box,th2-read,Java
th2-common-ui-components,Library,,TypeScript
th2-act-uiframework-win-demo,Library,,Java
th2-grpc-crawler-data-processor,Template,th2-crawler,Python
th2-infra-editor-v2,WebUI,th2-infra,TypeScript
th2-grpc-data-provider,Library,,Python
th2-woodpecker-template,Box,th2-woodpecker,Kotlin
th2-read-file-common-core,Library,th2-read,Kotlin
th2-grpc-woodpecker,Library,th2-woodpecker,Python
th2-woodpecker,Library,th2-woodpecker,Kotlin
th2-codec-xml,Box,th2-codec,Kotlin
th2-conn-http-server,Box,th2-conn,Kotlin
th2-grpc-check2-recon,Library,th2-check2-recon,Python
th2-codec-json,Box,th2-codec,Kotlin
th2-codec-http,Box,th2-codec,Kotlin
th2-act-ui,WebUI,th2-act-ui,TypeScript
th2-act-ui-backend,Box,th2-act-ui,Kotlin
th2-codec-html,Box,th2-codec,Java
th2-codec-sailfish,Box,th2-codec,Kotlin
th2-codec-hand,Box,th2-codec,Java
th2-conn-ws-client,Box,th2-conn,Kotlin
th2-conn-http-client,Box,th2-conn,Kotlin
infra-operator-tpl,Template,,Go
th2-infra-repo,Library,th2-infra,Java
th2-box-descriptor-generator,Tool,,Java
th2-act-uiframework-web-demo,Library,,Java
th2-common-cpp,Library,th2-common,C++
th2-codec-hand-html,Box,th2-codec,Java
remotehand,Tool,,Java
th2-infra,Config,th2-infra,Mustache
th2-act-gui-core,Box,,Java
th2-hand,Library,,Java
th2-read-csv,Box,th2-read,Java
th2-codec-csv,Box,th2-codec,Java
th2-infra-schema-demo,Config,th2-infra,
th2-demo-script,Box,,
th2-sim-template,Template,th2-sim,Kotlin
th2-grpc-sim-template,Library,th2-sim,Python
th2-check2-recon-template,Box,th2-check2-recon,Python
th2-infra-mgr,Box,th2-infra,Java
th2-infra-operator,Box,th2-infra,Java
th2-check2-recon,Library,th2-check2-recon,Python
th2-check1,Box,th2-check1,Kotlin
th2-codec-generic,Config,,Dockerfile
th2-read-log,Box,th2-read,Java
th2-conn-generic,Config,,Dockerfile
th2-codec,Library,th2-codec,Kotlin
th2-util,Box,,Java
th2-conn,Template,th2-conn,Java
th2-sailfish-utils,Library,,Java
th2-sim,Library,th2-sim,Java
th2-grpc-hand,Library,th2-hand,Python
th2-infra-editor,WebUI,th2-infra,TypeScript
th2-grpc-sim,Library,th2-sim,Python
th2-grpc-generator-template,Template,,Python
th2-grpc-act-template,Template,th2-act,Python
th2-common-py,Library,th2-common,Python
th2-rpt-data-provider,Box,th2-core,Kotlin
th2-grpc-util,Library,th2-util,Python
th2-act-template-j,Template,th2-act,Java
th2-rpt-viewer,WebUI,th2-core,TypeScript
th2-estore,Box,th2-core,Java
th2-mstore,Box,th2-core,Java
th2-store-common,Library,,Java
th2-grpc-check1,Library,th2-check1,Python
th2-common-j,Library,th2-common,Java
th2-grpc-common,Library,,Python
cradleapi,Library,th2-core,Java
th2-python-service-generator,Tool,,Java
th2-grpc-service-generator,Tool,,Kotlin
th2-bom,Config,,Dockerfile
